First Name,Last Name,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,DOB
Razak,Al-Hassan,,187.96,92.99,,Orthodox,13,5,0,1982-05-14
Mostapha,Al-Turk,,187.96,111.13,195.58,Orthodox,6,6,0,1973-07-14
Herdem,Alacabek,,187.96,92.99,190.5,Orthodox,5,1,0,1991-06-07
Javi,Alanis,,167.64000000000001,61.23,,,0,4,0,
,Alatengheili,The Mongolian Knight,165.1,61.23,167.64000000000001,Orthodox,14,8,2,1991-12-14
Amir,Albazi,The Prince,165.1,56.7,172.72,Orthodox,14,1,0,1993-10-27
Brett,Albee,,,102.06,,,3,2,0,
John,Albert,Prince,172.72,61.23,172.72,Orthodox,6,5,0,1986-10-13
Junior,Albini,Baby,190.5,119.75,187.96,Orthodox,14,6,0,1991-03-15
Wes,Albritton,,177.8,85.28,,Orthodox,0,1,0,
Aleksandra,Albu,Stitch,157.48,52.16,160.02,Orthodox,3,2,0,1990-07-14
Israel,Albuquerque,,,83.91,,Orthodox,0,3,0,
Juan,Alcain,,,,,,1,2,0,
Iuri,Alcantara,Marajo,175.26,61.23,180.34,Southpaw,35,10,0,1980-08-04
Ildemar,Alcantara,Marajo,187.96,83.91,198.12,Orthodox,21,11,0,1982-11-18
Alfonso,Alcarez,,160.02,65.77,,,1,3,1,1970-06-10
Gilbert,Aldana,El Peligro,185.42000000000002,113.4,,Orthodox,6,2,0,1977-08-25
Irene,Aldana,,175.26,61.23,172.72,Orthodox,13,6,0,1988-03-26
Hector,Aldana,,180.34,77.11,182.88,Orthodox,4,3,0,1988-08-17
Jose,Alday,Pochito,170.18,61.23,172.72,Orthodox,14,6,1,1991-09-14
Jose,Aldo,,170.18,61.23,177.8,Orthodox,30,7,0,1986-09-09
JJ,Aldrich,,165.1,56.7,170.18,Southpaw,10,4,0,1992-09-29
Jim,Alers,The Beast,175.26,65.77,180.34,Orthodox,13,3,0,1986-10-14
John,Alessio,The Natural,177.8,70.31,182.88,Orthodox,35,17,0,1979-07-05
Houston,Alexander,The Assassin,182.88,92.99,182.88,Orthodox,17,15,1,1972-03-22
Kenneth,Alexander,The Machine,175.26,70.31,,Orthodox,7,6,0,1977-09-25
Marcio,Alexandre Junior,Lyoto,182.88,83.91,190.5,Southpaw,17,4,0,1989-05-05
Olaf,Alfonso,,187.96,77.11,,Orthodox,8,12,0,1974-08-06
Pablo,Alfonso,The Hurricane,172.72,65.77,,,9,7,0,1983-05-09
Levi,Alford,,,,,,1,7,0,
Bill,Algeo,Senor Perfecto,182.88,65.77,185.42000000000002,Switch,14,6,0,1989-06-09
Royce,Alger,,177.8,90.26,,Orthodox,3,2,0,
Amir,Aliakbari,,190.5,113.4,,,10,1,0,1984-06-10
Sultan,Aliev,,180.34,77.11,187.96,Orthodox,15,3,0,1984-09-17
John,Allan,,185.42000000000002,92.99,190.5,Orthodox,13,6,0,1993-02-22
George,Allen,,187.96,92.99,,Open Stance,13,19,2,1967-01-13
Arnold,Allen,Almighty,172.72,65.77,177.8,Southpaw,17,1,0,1994-01-22
Brendan,Allen,All In,187.96,83.91,190.5,Orthodox,17,4,0,1995-12-28
Ben,Alloway,Blanco,180.34,77.11,193.04,Orthodox,18,8,0,1981-02-19
Ricardo,Almeida,Big Dog,182.88,77.11,187.96,Orthodox,13,5,0,1976-11-29
Magno,Almeida,,182.88,70.31,,,10,3,0,1985-06-06
Thomas,Almeida,Thominhas,170.18,65.77,177.8,Southpaw,22,5,0,1991-07-31
Ericka,Almeida,,167.64000000000001,52.16,,Orthodox,7,3,0,1989-03-05
Estefani,Almeida,,162.56,56.7,,Orthodox,7,3,0,1988-10-17
Jailton,Almeida,Malhadinho,190.5,92.99,200.66,Orthodox,14,2,0,1991-06-26
Lucas,Almeida,,180.34,70.31,180.34,Orthodox,12,1,0,1991-01-13
Mauricio,Alonso,,187.96,77.11,,,13,7,0,1980-02-27
Sarah,Alpar,Too Sweet,162.56,61.23,160.02,Southpaw,9,6,0,1991-06-01
Ali,AlQaisi,The Royal Fighter,167.64000000000001,61.23,172.72,Orthodox,8,5,0,1990-09-23
Rico,Altamirano,,177.8,77.11,,,4,3,0,
Victor,Altamirano,El Magnifico,172.72,56.7,177.8,Switch,10,1,0,1991-01-23
Mike,Altman,,177.8,83.91,,Orthodox,1,4,0,
Sean,Alvarez,,182.88,106.59,,Orthodox,4,3,0,1971-07-14
Eddie,Alvarez,,175.26,70.31,175.26,Orthodox,29,6,0,1984-01-11
Jaime,Alvarez,,172.72,56.7,175.26,Orthodox,6,1,0,1988-03-08
Joel,Alvarez,El Fenomeno,190.5,70.31,195.58,Orthodox,18,2,0,1994-03-02
Thiago,Alves,Pitbull,175.26,77.11,177.8,Orthodox,23,15,0,1983-10-03
Anthony,Alves,,,,,,1,4,0,
Amilcar,Alves,,182.88,77.11,,Southpaw,15,12,0,1988-08-08
Warlley,Alves,,180.34,77.11,182.88,Orthodox,15,5,0,1991-01-04
Rafael,Alves,The Turn,172.72,70.31,172.72,Orthodox,19,10,0,1990-10-10
Sam,Alvey,Smile'N,187.96,83.91,190.5,Southpaw,33,16,1,1986-05-06
Andre,Amado,Dida,182.88,69.85,,Orthodox,6,4,1,
Adlan,Amagov,Borz,187.96,77.11,193.04,Orthodox,14,2,1,1986-10-30
Maiara,Amanajas dos Santos,,165.1,52.16,,Southpaw,7,3,0,1987-07-11
Chris,Amarante,,,83.91,,,2,0,0,
Jimmy,Ambriz,The Titan,187.96,142.88,,Southpaw,17,21,1,1970-01-26
JJ,Ambrose,,177.8,77.11,,Orthodox,28,7,0,
Alen,Amedovski,,177.8,83.91,187.96,Orthodox,8,2,0,1988-04-06
Makwan,Amirkhani,Mr. Finland,177.8,65.77,182.88,Southpaw,16,6,0,1988-11-08
Bertrand,Amoussou,,172.72,86.18,,Orthodox,1,1,0,
Karl,Amoussou,The Psycho,180.34,83.91,,Orthodox,27,7,2,1985-11-21
Eryk,Anders,Ya Boi,185.42000000000002,83.91,190.5,Southpaw,14,5,0,1987-04-21
Matt,Andersen,,187.96,104.33,,Southpaw,14,8,1,1971-05-29
Andy,Anderson,The Hammer,167.64000000000001,108.86,,,0,1,0,1974-07-16
Lowell,Anderson,,167.64000000000001,72.57,,Orthodox,0,1,0,
Corey,Anderson,Overtime,190.5,92.99,200.66,Orthodox,14,5,0,1989-09-22
Derek,Anderson,Barbaric,182.88,70.31,,,14,3,0,1990-02-02
Megan,Anderson,,182.88,65.77,182.88,Orthodox,11,5,0,1990-02-11
Alex,Andrade,El Toro,180.34,90.72,,Orthodox,10,5,0,1974-05-14
Jessica,Andrade,Bate Estaca,154.94,56.7,157.48,Orthodox,22,9,0,1991-09-25
Viscardi,Andrade,,180.34,77.11,190.5,Orthodox,19,6,0,1984-03-08
Jermaine,Andre,,170.18,90.72,,Orthodox,14,4,0,
Dylan,Andrews,The Villain,185.42000000000002,83.91,187.96,Switch,18,7,0,1979-11-15
Reese,Andy,Riptide,182.88,92.99,,Orthodox,7,3,0,1973-03-31
Julius,Anglickas,,190.5,92.99,,Orthodox,5,1,0,1991-07-23
Collin,Anglin,,175.26,65.77,180.34,Orthodox,8,2,0,1993-02-20
Chad,Anheliger,,167.64000000000001,61.23,162.56,Orthodox,11,5,0,1986-12-01
Yoji,Anjo,Mr. 200%,180.34,92.99,,Orthodox,0,5,1,1967-03-28
Magomed,Ankalaev,,190.5,92.99,190.5,Orthodox,15,1,0,1992-06-02
Gadzhimurad,Antigulov,,180.34,92.99,177.8,Orthodox,20,8,0,1987-02-09
Adam,Antolin,Captain Chaos,165.1,56.7,160.02,Orthodox,12,3,0,1982-02-28
Angelo,Antonio,,,92.99,,Orthodox,1,4,0,
Azunna,Anyanwu,Zulu,185.42000000000002,113.85,,Orthodox,14,5,0,1981-08-05
Shinsho,Anzai,Animal,170.18,77.11,177.8,Orthodox,10,3,0,1985-12-01
Shinya,Aoki,Tobikan Judan,180.34,69.85,,Southpaw,39,7,0,1983-05-09
,Aoriqileng,The Mongolian Murderer,170.18,56.7,175.26,Orthodox,18,7,0,1993-06-25
Josh,Appelt,,177.8,115.67,,Southpaw,15,7,0,1983-06-19
Erik,Apple,,182.88,77.11,,Orthodox,10,3,0,1977-08-26
Kenji,Arai,,177.8,65.77,,Southpaw,15,15,5,1979-10-05
Romie,Aram,,177.8,77.11,,Orthodox,7,1,0,1977-12-02
Felipe,Arantes,Sertanejo,172.72,61.23,185.42000000000002,Orthodox,18,10,1,1988-02-09
Igor,Araujo,,185.42000000000002,77.11,195.58,Orthodox,25,9,0,1980-12-06
Viviane,Araujo,Vivi,162.56,56.7,172.72,Orthodox,10,3,0,1986-11-21
Julio,Arce,,170.18,65.77,177.8,Southpaw,17,4,0,1989-10-27
Art,Arciniega,King Arthur,172.72,65.77,,,15,7,0,1981-10-15
Tristan,Arenal,,,70.31,,,7,4,0,
Hashem,Arkhagha,,187.96,83.91,190.5,Orthodox,6,1,0,1989-09-11
Andrei,Arlovski,The Pitbull,190.5,108.86,195.58,Orthodox,32,20,0,1979-02-04
Joey,Armstrong,,,,,,5,2,0,
Austin,Arnett,,182.88,65.77,182.88,Orthodox,16,6,0,1991-10-22
Ricardo,Arona,The Brazilian Tiger,180.34,92.99,,Orthodox,14,5,0,1978-07-17
Chalid,Arrab,Die Faust,180.34,92.99,,Orthodox,7,3,0,1975-05-28
Akbarh,Arreola,El Caballero,177.8,70.31,180.34,Southpaw,23,11,1,1983-01-14
Matt,Arroyo,No Regard,177.8,77.11,182.88,Orthodox,3,3,0,1982-09-01
Antonio,Arroyo,,190.5,83.91,185.42000000000002,Orthodox,9,5,0,1989-07-01
Gilles,Arsene,,175.26,86.18,,Southpaw,1,1,0,
Veta,Arteaga,,170.18,56.7,,,3,1,0,
Cesar,Arzamendia,Goku,180.34,70.31,,Orthodox,8,3,0,1991-01-31
Teddy,Ash,Bear,185.42000000000002,83.91,185.42000000000002,Switch,14,5,0,1989-12-27
Arman,Ashimov,Mustafa Ozturik,167.64000000000001,56.7,,,11,3,1,1992-01-14
Askar,Askar,AK-47,170.18,65.77,175.26,Orthodox,11,1,0,1994-08-19
Askar,Askarov,Bullet,167.64000000000001,56.7,170.18,Orthodox,13,0,1,1992-10-09
Cyril,Asker,Silverback,182.88,112.04,187.96,Orthodox,9,4,0,1985-12-24
Khusein,Askhabov,Lion,172.72,65.77,,,23,0,0,1995-02-13
Scott,Askham,,190.5,83.91,190.5,Southpaw,14,4,0,1988-05-20
Ben,Askren,Funky,180.34,77.11,185.42000000000002,Orthodox,19,2,0,1984-07-18
Ibo,Aslan,The Last Ottoman,190.5,92.99,,,8,0,0,1996-04-23
Tom,Aspinall,,195.58,116.12,198.12,Orthodox,11,2,0,1993-04-11
Bruno,Assis,Brunao,187.96,83.91,,Orthodox,8,4,0,1992-05-23
Junior,Assuncao,,175.26,65.77,182.88,Orthodox,16,6,0,1981-06-24
Raphael,Assuncao,,165.1,61.23,167.64000000000001,Orthodox,27,8,0,1982-07-19
Bazigit,Atajev,Volk,185.42000000000002,104.33,,Orthodox,17,1,0,
Rich,Attonito,The Raging Bull,177.8,77.11,182.88,Orthodox,10,5,0,1977-06-16
Olivier,Aubin-Mercier,The Canadian Gangster,175.26,70.31,177.8,Southpaw,11,5,0,1989-02-23
Pat,Audinwood,Awesomely Awesome,182.88,70.31,,Orthodox,11,2,1,1986-04-16
Jose,Augusto,Gugu,190.5,113.85,,,6,2,0,1992-03-28
Marcus,Aurelio,Maximus,177.8,70.31,187.96,Orthodox,22,10,0,1973-08-18
David,Avellan,,175.26,83.91,,Orthodox,2,1,0,
Blas,Avena,The Disciple,182.88,77.11,187.96,Orthodox,8,7,0,1983-06-30
Levi,Avera,,185.42000000000002,77.11,,,18,15,0,1982-05-17
Anthony,Avila,,170.18,65.77,,,13,5,0,1988-12-29
Chris,Avila,,177.8,65.77,,Orthodox,5,4,0,1993-01-16
Julia,Avila,Raging Panda,170.18,61.23,172.72,Orthodox,9,2,0,1988-05-11
Saad,Awad,Assassin,180.34,70.31,,,20,9,0,1983-06-07
Javy,Ayala,Eye Candy,185.42000000000002,120.2,,,10,5,0,1988-08-20
Jessin,Ayari,,182.88,70.31,185.42000000000002,Orthodox,16,6,0,1992-05-31
Abu,Azaitar,Captain Morocco,175.26,83.91,193.04,Orthodox,14,3,1,1986-03-10
Ottman,Azaitar,Bulldozer,172.72,70.31,180.34,Switch,13,0,0,1990-02-20
Luiz,Azeredo,,175.26,69.85,,Orthodox,15,10,0,1976-06-10
Luciano,Azevedo,,190.5,73.03,,Orthodox,17,9,1,1981-06-25
Hunter,Azure,,172.72,65.77,175.26,Orthodox,9,2,0,1992-03-02
Niklas,Backstrom,,185.42000000000002,65.77,,Orthodox,11,3,0,1989-08-22
Seth,Baczynski,The Polish Pistola,190.5,77.11,190.5,Orthodox,20,14,0,1981-10-26
Ryan,Bader,Darth,187.96,92.99,187.96,Orthodox,23,5,0,1983-06-07
Izabela,Badurek,,165.1,52.16,,Orthodox,6,3,0,1991-07-11
Miguel,Baeza,Caramel Thunder,187.96,77.11,187.96,Orthodox,10,1,0,1992-08-23
Ali,Bagautinov,Puncher,162.56,56.7,165.1,Orthodox,15,6,0,1985-06-10
Mehdi,Baghdad,The Sultan,185.42000000000002,70.31,,Orthodox,11,5,0,1985-04-13
Melsik,Baghdasaryan,The Gun,175.26,65.77,177.8,Southpaw,6,1,0,1992-01-28
Siyar,Bahadurzada,The Great,180.34,77.11,185.42000000000002,Orthodox,24,8,1,1984-04-17
Ignacio,Bahamondes,La Jaula,190.5,70.31,190.5,Orthodox,12,4,0,1997-08-27
Shamar,Bailey,,175.26,70.31,190.5,Southpaw,16,11,0,1982-09-22
Jordan,Bailey,,175.26,65.77,,,6,3,0,
Scott,Baker,,182.88,95.25,,,1,1,0,
Bryan,Baker,The Beast,190.5,83.91,,Orthodox,18,5,0,1985-10-13
Jin,Bala,,175.26,70.31,,,20,1,0,
Oluwale,Bamgbose,Holy War Angel,180.34,83.91,198.12,Switch,6,4,0,1987-08-04
Stephen,Banaszak,,182.88,65.77,,,5,5,0,1990-12-07
Marcin,Bandel,Bomba,177.8,70.31,,Orthodox,15,7,0,1989-10-10
Humberto,Bandenay,,180.34,65.77,180.34,Southpaw,14,7,0,1994-09-04
Tae Hyun,Bang,Supernatural,175.26,70.31,180.34,Switch,18,10,0,1983-04-15
Yohan,Banks,,,,,,2,1,0,
Antonio,Banuelos,,165.1,61.23,160.02,Orthodox,20,11,1,1979-09-23
Renan,Barao,The Baron,167.64000000000001,65.77,177.8,Orthodox,34,9,0,1987-01-31
Junior,Barata,,177.8,77.11,,Orthodox,9,3,1,1982-01-25
Maycee,Barber,The Future,165.1,56.7,165.1,Switch,9,2,0,1998-05-18
Bryan,Barberena,Bam Bam,182.88,77.11,182.88,Southpaw,15,8,0,1989-05-03
Edson,Barboza,Junior,180.34,65.77,190.5,Orthodox,22,10,0,1986-01-21
Raoni,Barcelos,,170.18,61.23,170.18,Orthodox,16,2,0,1987-05-01
Daniel,Barez,,167.64000000000001,56.7,167.64000000000001,Orthodox,12,5,0,1988-12-10
Luke,Barnatt,The Bigslow,198.12,83.91,195.58,Orthodox,13,4,0,1988-04-13
James,Barnes,Mooka,172.72,61.23,180.34,Orthodox,14,5,0,1982-05-28
Nick,Barnes,,180.34,77.11,,,11,2,0,
Shonte,Barnes,Shyne,180.34,83.91,193.04,Southpaw,6,2,1,1987-02-09
Josh,Barnett,The Warmaster,190.5,113.4,198.12,Orthodox,35,8,0,1977-11-10
Chris,Barnett,Beastboy,175.26,120.2,190.5,Orthodox,21,7,0,1986-06-14
Chris,Barnhizer,,,,,,2,3,0,
David,Baron,,167.64000000000001,70.31,,Switch,17,4,1,1973-02-15
Phil,Baroni,The New York Bad Ass,175.26,77.11,182.88,Orthodox,15,18,0,1976-04-16
Dan,Barrera,The Fireman,175.26,77.11,,Orthodox,3,1,0,1980-12-23
Carlos,Barreto,,193.04,104.33,,Orthodox,14,9,0,
Jose,Barreto,,,83.91,,Southpaw,0,1,0,
Peter,Barrett,Slippery,177.8,65.77,185.42000000000002,Southpaw,11,5,0,1986-08-10
Marc-Andre,Barriault,Powerbar,185.42000000000002,83.91,187.96,Orthodox,13,4,0,1990-02-18
David,Barrios,,167.64000000000001,65.77,,,4,8,0,
Alexandre,Barros,Baixinho,175.26,77.11,,Southpaw,22,11,0,1976-11-19
Ricardo,Barros,,185.42000000000002,92.99,,,2,2,0,1976-03-22
Francimar,Barroso,Bodao,185.42000000000002,92.99,190.5,Orthodox,19,7,0,1980-02-28
Pat,Barry,HD,180.34,106.59,187.96,Orthodox,8,7,0,1979-07-07
Dean,Barry,The Sniper,,70.31,,,3,1,0,1992-03-07
Enrique,Barzola,El Fuerte,170.18,65.77,177.8,Orthodox,17,5,2,1989-04-28
Javid,Basharat,The Snow Leopard,175.26,61.23,165.1,Orthodox,10,0,0,1995-09-07
Stephen,Bass,Bigfish,175.26,65.77,,Orthodox,11,2,0,1982-11-14
Sean,Bassett,,,70.31,,,0,4,0,
Ryan,Bastianelli,Relentless,165.1,61.23,,,6,7,0,
Shayna,Baszler,The Queen of Spades,170.18,61.23,,Orthodox,15,11,0,1980-08-08
Michel,Batista,,190.5,117.93,,Orthodox,4,1,0,1984-04-20
Bryan,Battle,Pooh Bear,185.42000000000002,83.91,195.58,Orthodox,7,1,0,1994-09-21
Alan,Baudot,The Black Samourai,190.5,110.22,200.66,Orthodox,8,3,0,1988-02-01
Mario,Bautista,,175.26,61.23,175.26,Switch,8,2,0,1993-07-01
Chris,Beal,Real Deal,170.18,56.7,175.26,Orthodox,10,5,0,1985-08-06
Rudy,Bears,,180.34,77.11,,Southpaw,16,15,0,
Salvador,Becerra,,175.26,70.31,,,5,2,0,
Ariel,Beck,,167.64000000000001,56.7,167.64000000000001,Southpaw,4,5,0,1990-09-16
Jeff,Bedard,Little Popeye,167.64000000000001,65.77,,Orthodox,13,3,0,1970-02-06
Eric,Bedard,Lucky Strikes,187.96,108.41,,,6,7,0,1984-09-11
Johnny,Bedford,Brutal,177.8,61.23,180.34,Orthodox,21,13,1,1983-01-06
Chase,Beebe,,170.18,61.23,170.18,Orthodox,24,13,1,1985-03-29
Lyle,Beerbohm,Fancy Pants,177.8,70.31,,Southpaw,24,3,0,1979-02-05
Mirsad,Bektic,,172.72,65.77,177.8,Orthodox,13,4,0,1991-02-16
Diana,Belbita,The Warrior Princess,170.18,56.7,172.72,Orthodox,14,6,0,1996-06-26
Alan,Belcher,The Talent,187.96,83.91,190.5,Orthodox,18,8,0,1984-04-24
Vitor,Belfort,The Phenom,182.88,83.91,187.96,Southpaw,26,14,0,1977-04-01
Danilo,Belluardo,Caterpillar,182.88,70.31,187.96,Southpaw,12,5,0,1994-07-21
Joey,Beltran,The Mexicutioner,185.42000000000002,83.91,190.5,Orthodox,17,14,0,1981-12-08
Marco,Beltran,Psycho,172.72,56.7,175.26,Orthodox,8,6,0,1986-05-18
Joseph,Benavidez,,162.56,56.7,165.1,Southpaw,28,8,0,1984-07-31
Mike,Bencic,Batman,182.88,97.52,,Orthodox,1,2,0,
Dave,Beneteau,Dangerous,187.96,113.4,,Orthodox,6,5,1,
Karla,Benitez,,160.02,51.26,,,14,11,1,
Gabriel,Benitez,Moggly,172.72,70.31,180.34,Southpaw,22,10,0,1988-06-15
Charles,Bennett,Krazy Horse,172.72,70.31,,Orthodox,30,33,2,1979-11-23
Josh,Bennett,,193.04,117.48,,Orthodox,11,14,0,
DeAnna,Bennett,The Argentine Assassin,162.56,56.7,172.72,Orthodox,8,3,1,1984-11-18
Lance,Benoist,,180.34,77.11,182.88,Southpaw,7,2,0,1988-08-26
Joe,Benoit,,175.26,77.11,,Orthodox,11,4,0,1982-03-12
Ryan,Benoit,Baby Face,165.1,56.7,172.72,Orthodox,10,8,0,1989-08-25
Pat,Benson,,175.26,70.31,,,3,5,3,
Len,Bentley,,175.26,70.31,,,10,6,0,1982-11-30
Steve,Berger,The Red Nosed Pitbull,180.34,77.11,,Orthodox,21,23,2,1973-05-20
Kenneth,Bergh,,187.96,92.99,187.96,Orthodox,8,0,0,1989-06-26
Bret,Bergmark,The Angry Hick,175.26,77.11,,,6,1,1,1973-11-24
Keith,Berish,Sha Bang Bang,182.88,92.99,,Orthodox,5,1,0,1985-11-14
Dennis,Bermudez,The Menace,167.64000000000001,70.31,167.64000000000001,Orthodox,17,9,0,1986-12-13
Manny,Bermudez,The Bermudez Triangle,177.8,65.77,180.34,Orthodox,14,2,0,1994-07-16
Talita,Bernardo,,162.56,61.23,172.72,Orthodox,6,4,0,1987-03-04
Dave,Berry,,,,,,0,1,0,
Keith,Berry,,185.42000000000002,83.91,,,15,14,1,1987-10-25
Dieusel,Berto,,175.26,90.72,,,0,3,0,
Edson,Berto,Little Tiger,167.64000000000001,70.31,,Orthodox,17,12,1,1983-07-05
Allen,Berube,Monstah Lobstah,172.72,70.31,,Orthodox,4,3,0,1974-08-25
Anton,Berzin,The Body Snatcher,187.96,92.99,,Orthodox,5,1,0,1989-09-29
Scott,Bessac,,193.04,111.13,,,4,6,0,
Matt,Bessette,The Mangler,177.8,65.77,177.8,Orthodox,22,9,0,1984-12-28
Khadzhi,Bestaev,Best,198.12,83.91,193.04,,10,4,0,1988-07-16
Fernando,Bettega,,,77.11,,,7,5,0,1980-03-10
Arjan,Bhullar,,185.42000000000002,111.13,190.5,Orthodox,9,1,0,1986-05-13
KB,Bhullar,The Bengal,193.04,83.91,198.12,Switch,8,2,0,1991-10-12
Bibulatov,Magomed,Chaborz,165.1,56.7,165.1,Orthodox,14,2,0,1988-08-22
David,Bielkheden,,177.8,70.31,180.34,Orthodox,24,12,0,1979-06-06
Jonas,Bilharinho,Shiva,180.34,65.77,,,8,1,1,1990-05-22
Jeremiah,Billington,,175.26,92.99,,Orthodox,11,2,0,1977-11-14
Scott,Bills,,177.8,77.11,,,7,9,1,
Anthony,Birchak,El Toro,172.72,61.23,175.26,Orthodox,16,8,0,1986-05-16
Chris,Birchler,The Big Buck,190.5,92.99,,Switch,7,4,0,1987-06-05
Michael,Bisping,The Count,185.42000000000002,83.91,190.5,Orthodox,30,9,0,1979-02-28
Amaury,Bitetti,,175.26,83.91,,Orthodox,5,2,0,
Caio,Bittencourt,Leao,182.88,83.91,190.5,Orthodox,14,7,0,1991-05-22
Simon,Biyong,,,92.99,,,7,1,0,1991-04-05
Jan,Blachowicz,,187.96,92.99,198.12,Orthodox,28,8,0,1983-02-24
Jason,Black,The Black Legion,172.72,70.31,,Orthodox,23,4,1,1972-07-15
Brad,Blackburn,Bad Brad,177.8,77.11,185.42000000000002,Orthodox,18,13,1,1977-05-25
Jason,Blackford,,,,,,3,3,0,
Tom,Blackledge,,,92.99,,Orthodox,10,7,0,
Sherrard,Blackledge,The Thriller,180.34,70.31,190.5,Orthodox,5,1,0,1993-08-16
Erin,Blanchfield,Cold Blooded,162.56,61.23,167.64000000000001,Orthodox,7,1,0,1999-05-04
Maximo,Blanco,Maxi,172.72,65.77,180.34,Orthodox,12,8,1,1983-10-16
David,Blanco,,170.18,65.77,,,2,0,0,
Curtis,Blaydes,Razor,193.04,120.2,203.2,Orthodox,15,3,0,1991-02-18
Arlene,Blencowe,Angerfist,165.1,65.77,,,9,6,0,1983-04-11
Byron,Bloodworth,,172.72,61.23,,Orthodox,6,3,0,1983-08-16
Dashawn,Boatwright,"Buck, the 400-pound Silverback",182.88,92.99,,Orthodox,3,1,0,1988-02-29
Dan,Bobish,,187.96,156.49,,Southpaw,17,9,0,1970-01-26
Mark,Bocek,,172.72,70.31,190.5,Orthodox,12,5,0,1981-10-24
Kyle,Bochniak,Killer B,170.18,65.77,177.8,Orthodox,8,5,0,1987-02-05
James,Bochnovic,,193.04,92.99,205.74,Orthodox,8,3,0,1989-02-13
Jeremy,Boczulak,,,,,,0,2,0,
Tim,Boetsch,The Barbarian,182.88,83.91,187.96,Orthodox,21,13,0,1981-01-28
Galore,Bofando,,180.34,77.11,182.88,Switch,5,3,0,1982-05-22
Jay,Bogan,,,65.77,,,6,6,0,
Roman,Bogatov,,172.72,70.31,185.42000000000002,Orthodox,10,1,0,1990-12-15
Derek,Bohi,Marshmallow,193.04,117.93,,,8,5,0,
Jerry,Bohlander,,180.34,90.26,,Orthodox,11,4,0,1974-02-12
Mandy,Bohm,Monster,170.18,56.7,180.34,Orthodox,7,1,0,1989-07-30
Kotetsu,Boku,,175.26,69.85,,Orthodox,25,11,2,1977-05-27
Kyle,Bolt,,187.96,83.91,,,8,4,0,
Denys,Bondar,Psycho,167.64000000000001,56.7,,Orthodox,12,1,0,1992-06-27
Luc,Bondole,,187.96,92.99,,,5,2,2,
Tony,Bonello,The Gun,187.96,83.91,,,16,3,1,
Jesse,Bongfeldt,Water,182.88,83.91,,Orthodox,16,5,1,1980-08-28
Marcos,Bonilla,Murder Marx,177.8,65.77,,,4,4,0,
Stephan,Bonnar,The American Psycho,193.04,92.99,200.66,Orthodox,15,9,0,1977-04-04
Rogerio,Bontorin,,165.1,56.7,170.18,Orthodox,17,3,0,1992-04-25
Ray,Borg,The Tazmexican Devil,162.56,61.23,160.02,Orthodox,13,5,0,1993-08-04
Igor,Borisov,,182.88,106.59,,Orthodox,1,1,0,
